"","name","station_id","latitude","longitude","height","orog_DE","orog_D2"
"1","UFS TW Ems","10004",54.165071,6.346049,0,0.0319919586181641,0
"2","UFS Deutsche Bucht","10007",54.1667,7.45,0,0.0319919586181641,0
"3","Helgoland","10015",54.174957,7.891954,4,0.0319919586181641,0
"4","List auf Sylt","10020",55.010987,8.412538,26.2,2.65699195861816,3.8125
"5","Leck","10022",54.790294,8.951446,7,8.90699195861816,9.0625
"6","Sankt Peter-Ording","10028",54.327918,8.602987,5,1.65699195861816,1.9375
"7","Schleswig","10035",54.527509,9.548637,42.5,30.3444919586182,26.625
"8","Schoenhagen (Ostseebad)","10042",54.640978,10.023753,2,0.156991958618164,0.5
"9","Leuchtturm Kiel","10044",54.499614,10.273687,30.75,0.0319919586181641,0
"10","Kiel-Holtenau","10046",54.376109,10.143324,27,14.0319919586182,16.0625
"11","Fehmarn","10055",54.528379,11.060513,3,1.28199195861816,0
"12","Arkona","10091",54.67916,13.434252,42,0.0944919586181641,0
"13","Putbus","10093",54.36426,13.47709,39.5,5.46949195861816,10.9375
"14","Greifswalder Oie","10097",54.2437,13.9102,12,0.0319919586181641,0
"15","Norderney","10113",53.712302,7.151921,11,0.0319919586181641,2.125
"16","Bremerhaven","10129",53.533162,8.576083,7,1.59449195861816,2.375
"17","Elpersbuettel","10130",54.069133,9.010559,3,1.34449195861816,0.5
"18","Cuxhaven","10131",53.871254,8.705821,5,1.34449195861816,0
"19","Bremervoerde","10139",53.445116,9.139039,10,6.09449195861816,6.875
"20","Itzehoe","10142",53.989745,9.569639,21,20.6569919586182,20.375
"21","Quickborn","10146",53.733095,9.877586,13,16.9694919586182,17.3125
"22","Hamburg-Fuhlsbuettel","10147",53.633187,9.988085,11,16.2194919586182,19.125
"23","Doernick","10150",54.165442,10.351878,26.3,36.5319900512695,31.75
"24","Pelzerhaken","10152",54.08932,10.877335,1,8.71949195861816,14.125
"25","Luebeck-Blankensee","10156",53.802496,10.698806,15.5,9.46949195861816,10.875
